Titel;Produzent;Gesamtherstellungskosten (EUR);Fernsehfonds Austria (EUR);Förderinstitutionen;Ko-Produzenten;Fernsehsender;Länge (Min.);Jahr;Beschreibung (de);Beschreibung (en)
Die verbotene Frau;Aichholzer Filmproduktion GmbH;2410681;200000;Medienboard Berlin-Brandenburg,FFF Bayern,FFW;TV 60 Filmproduktion GmbH;SAT.1,Puls 4;92;2013;"Verena ist eine vielbeschäftigte und reisefreudige Journalistin. Privat lebt sie mit ihrem Kollegen Paul in einer glücklichen, wenn auch unaufgeregten Beziehung. Auf einem Pressetermin in Wien lernt sie den Araber Khalid kennen und beide verlieben sich Hals über Kopf ineinander. Doch ihr Traumprinz Khalid ist dazu bestimmt, eines Tages als Scheich eines der Vereinigten Arabischen Emirate zu regieren und bereits einer anderen Frau versprochen. Traditionen und seine Familie verbieten ihm eine legitime Beziehung mit der Europäerin. Dennoch können Verena und Khalid nicht voneinander lassen. Verena muss sich entscheiden: Kann sie aus Liebe zu ihm für immer die verbotene Frau sein?";"Verena is a busy journalist who loves to travel. She shares her private life with her associate Paul in a contented yet hum-drum relationship. At a press conference in Vienna, she meets the Arab Khalid. They fall head over heels in love with each other. Yet Khalid, the man of her dreams, is designated to one day become Sheik and rule one of the United Arab Emirates, and is already promised to another woman. His traditions and family forbid any legitimate relationship with the European woman. But Verena and Khalid find it impossible to part. Verena must decide whether she loves him enough to always remain behind the scenes ­ the forbidden woman."
Die Wanderhure;Aichholzer Filmproduktion GmbH;5673307;600000;Land Niederösterreich,Cine Tirol,Media Plus,FFF Bayern,Filmboard Berlin-Brandenburg,Magyar Mozgókép Közalapitvány;TV 60 Filmproduktion GmbH,Uj Budapest Filmstudio;ORF,Sat.1;120;2009;"Konstanz, 1414: Marie, die junge Tochter eines wohlhabenden Handelsherrn, wird durch eine Intrige vergewaltigt, der Hurerei beschuldigt und unschuldig verurteilt. Marie wird am Schandpfahl ausgepeitscht und aus der Stadt verbannt. Die Wanderhure Hiltrud und ihre Gefährtinnen nehmen sich des Mädchens an. Doch um zu überleben, muss Marie ihren Körper verkaufen. Nur ihr unendlicher Hass und der Wunsch, irgendwann ihre Ehre und Würde als Frau wiederzuerlangen, lassen sie ihre Scheu überwinden. Sie kämpft für ihr Glück und für Gerechtigkeit unter Einsatz ihres Lebens gegen Gier, Betrug und Verrat.";"Konstanz, 1414: Marie, the young daughter of a wealthy merchant, is raped as a result of an intrigue, accused of prostitution and convicted although she is innocent. Marie is whipped on the pillory and banished from the town. The travelling prostitute Hiltrud and her companions befriend the girl and look after her. But Marie has to sell her body to survive. Only her boundless hatred and the wish to regain her honour and dignity as a woman at some stage help her to overcome her inhibitions. She fights for her happiness and for justice, risking her life to combat greed, deceit and treachery."
Die Wüstenärztin;Eclypse Filmpartner Film- und Fernsehproduktion GmbH;2495083;350000;FFF Bayern;Film-Line Productions Filmproduktion GmbH,EPO ­ Filmproduktionsgesellschaft m.b.H.;ARD,ORF;90;2011;"Sina, eine sensible aber starke Ärztin, die auch in der Liebe keine Kompromisse machen will, sucht in der Beziehung zu ihrem Verlobten (Dr. Marco Lenz) Wahrhaftigkeit und Vertrauen. Aber diesem scheint Geld mehr wert zu sein als das ärztliche Ethos. Sina überwirft sich mit Marco und sucht einen Neuanfang in den Arabischen Emiraten. Ihre Reise in die Glitzerwelt Abu Dhabis und den endlosen Weiten der Wüste wird zu einer Suche nach sich selbst und dem Vertrauen, das sie vermisst. Dort lernt sie das Leben in einer ungekannten Vielfalt und Fremdartigkeit kennen und beschließt, eine mobile Klinik in der Wüste einzurichten. Unter bewegenden Umständen findet sie schließlich zu ihren Wurzeln, ihren eigentlichen Gefühlen und zu ihrer Heimat zurück.";"As a physician Sina is sensitive but resolute, and in her personal life she avoids all compromise, seeking an honest, trusting relationship with her fiancé Dr Marco Lenz. Yet he appears to value monetary gain over professional principles. After a row with Marco, Sina decides on a new start in the Arab Emirates. Travelling to the glittering world of Abu Dhabi and entering the vast boundless desert, she embarks on a quest for her identity and the trust she dearly misses. There she discovers a life of unimagined diversity and strangeness, and she resolves to set up a mobile hospital in the desert. Through trials and tribulations she ultimately finds her way back to her roots, her true feelings and her home."
Ein Sommer in Kroatien;Graf Filmproduktion GmbH;1512327;220000;Cinestyria,Land Steiermark;;ZDF,ORF;90;2011;"Ungelesene Briefe, die Ena im Nachlass ihrer Mutter findet, führen sie in das Fischrestaurant ihrer Großmutter Karmela. Die alte Dame empfängt sie mit offenen Armen. Tante Tereza aber wittert Erbschleichereien und gibt Ena und ihrer Mutter die Schuld am Tod ihres Vaters, Terezas Bruder. Als Karmela wegen eines Beinbruchs ausfällt, übernehmen Ena und Tereza das Geschäft, das bereits rote Zahlen schreibt. Als Ena versucht mit modernen Methoden das Restaurant zu retten, ist Karmela entsetzt und sieht Stammgäste und Tradition entgleiten. Ein Ringen der Generationen um Tradition und Erneuerung bringt schließlich alle einander näher, und als sich Ena nach langem Hin und Her dem charmanten Fischer Matej öffnet, findet sie auch ihre große Liebe.";"Unopened letters in her deceased mother's belongings lead Ena to grandmother Karmela's fish restaurant. The old lady greets her with open arms. Yet, seeing in Ena a legacy hunter, Aunt Tereza accuses Ena and her mother of the death of her brother, Ena's father. Karmela breaks her leg and cannot work, so Ena and Tereza take over the business, which is now running at a loss. With modern techniques Ena attempts to save the restaurant, to the horror of Karmela, who fears the loss of tradition and regular customers. The struggle between the old and the new finally brings the generations closer together. After much hesitation, Ena opens up to the advances of the charming fisherman Matej and finds her great love in the end."
Glücksbringer;MONA Film Produktion GmbH;1862263;360000;;;ARD,ORF;88;2010;"Agnes ist dreizehn Jahre älter als ihr Mann. Doch der Altersunterschied ist bisher für beide kein Thema. Alles ist perfekt ­ bis zu jenem Tag, an dem Agnes erfährt, dass sie an Krebs erkrankt ist. Sie will nicht, dass Leo sich um sie kümmern muss und sie will ihn auch nicht alleine lassen. Sie will ihn umsorgt und geliebt wissen, und so schmiedet sie den Plan, für ihren Mann eine neue Frau zu finden. Leo durchschaut das alles nicht. Sie regelt sein Leben. Arrangiert die neue Liebe. Als Agnes sieht, dass sie am Ziel ihres Plans ist, merkt sie, wie schwer das ist.";"Agnes is thirteen years older than her husband. Up to now the age difference has not mattered to either of them. Everything goes perfectly ­ until the day when Agnes learns she has cancer. She does not want Leo to have to take care of her, nor does she wish to leave him alone. To be certain that her husband will be loved and cared for, she hatches a plan to find a new wife for him. Leo has no idea what is going on. She arranges his life, including a new relationship. Only once she puts her plan into action does Agnes realise how difficult it will be."
Hannas Entscheidung;WEGA-Filmproduktionsgesellschaft m.b.H.;2402996;477582;Land Steiermark Kultur;Ziegler Film GmbH & Co KG;ard;88;2010;"Hanna hat ihre Familie und die Tischlerei ihres Mannes alleine durch Kriegs- und Nachkriegsnot gebracht. Als ihr Mann Karl aus der Gefangenschaft zurückkehrt, möchte er, dass Hanna wieder die Rolle der Hausfrau und Mutter übernimmt, aber das gelingt ihr nicht mehr. Obwohl Karl spürt, dass Hanna sich während seiner Abwesenheit emanzipieren musste, flüchtet er in das alte, patriarchalische Wertesystem. Hanna fühlt sich eingeengt, missverstanden und bevormundet, und auch Karl, gebrochen durch den Krieg, kann nicht da anknüpfen, wo er vor vielen Jahren aufgehört hat. Karl und Hanna müssen lernen, dass man das Rad der Zeit nicht zurückdrehen kann.";"Left on her own, Hanna brought her family and her husband's joinery through the poverty of wartime and its aftermath. Upon returning home from wartime imprisonment, her husband Karl wishes Hanna to go back to being a housewife and mother, but that is no longer enough for her. Even though Karl senses that Hanna had to become emancipated while he was away, he retreats to his former paternalistic way of thinking. Hanna feels hemmed in, misunderstood and patronised, while Karl, a broken man since the war, can no longer pick up where he left off many years earlier. Karl and Hanna need to learn that they cannot turn back the hands of time."
Helden;EPO ­ Filmproduktionsgesellschaft m.b.H.;7887275;750000;Filmstiftung NRW,FFF Bayern,Filmboard Berlin-Brandenburg,MFG,Nordmedia,Salzburg Agentur;Dreamtool Entertainment GmbH;RTL;140;2012;"Ohne Vorwarnung schlägt am helllichten Tag ein Nachrichtensatellit in den Berliner Reichstag ein und hinterlässt ein Bild der Verwüstung. Flugzeuge stürzen vom Himmel, die Kommunikation bricht zusammen. Die Ursache des Desasters liegt im Genfer Kernforschungszentrum, wo führende Wissenschaftler im weltgrößten Teilchenbeschleuniger den Urknall simulieren wollen und dabei ein Schwarzes Loch geschaffen haben. Genf zu erreichen wird für unsere Helden zu einer Tour de Force durch ein Land und seine Nachbarn im Ausnahmezustand ­ aber auch zu einer Zeit menschlicher Begegnungen. Eine Zeit, in der Mut stärker wird als Angst und Menschen entschlossen handeln. Eine Zeit, in der aus Schwäche Stärke wird und aus Einzelnen ein ganzes Volk.";"The German Reichstag in Berlin: a telecommunications satellite crashes without warning in broad daylight, leaving wreckage and carnage in its trail. Plane crashes and a breakdown in communications follow. The disaster has its origin at the nuclear research centre in Geneva. Wishing to simulate the Big Bang in the world's largest particle accelerator, prominent scientists have in fact created a Black Hole. For our heroes, the challenge of reaching Geneva by way of countries in a state of disaster will prove a tour de force. But it will also prove a time of personal encounters. A time when courage conquers fear and people act with resolve. A time when weakness gives way to strength and individuals unite to become one nation."
Isenhart ­ Die Jagd nach dem Seelenfänger;Dor Film-Produktionsgesellschaft m.b.H.;5408284;700000;Filmboard Berlin-Brandenburg,FFF Bayern,FFW,Media Plus;Ninety-Minute Film GmbH,filmpool Film- und Fernsehproduktion GmbH;Pro7,ORF;124;2010;"Der junge Isenhart wächst auf der Burg Laurin auf. Zusammen mit seinem Freund Konrad erhält er alle Privilegien eines Adeligen. Doch dann wird Anna, Isenharts große Liebe, ermordet. Isenhart schwört, den Mörder zur Strecke zu bringen. Als er Zeuge eines weiteren Mordes wird, der das gleiche Profil aufweist, macht er die Bekanntschaft von Henning und dessen Ziehvater, Medicus Günther. Isenhart ist fasziniert von Henning, der ihm in vielen Dingen so ähnlich erscheint: gebildet, interessiert, ein Vordenker seiner Zeit! Gemeinsam machen sie sich auf die Jagd nach dem Killer und machen dabei eine unfassbare Entdeckung: Der Mörder ist ein Genie ­ und er ist ihnen ganz nah.";"Young Isenhart is growing up at Laurin Castle. He and his friend Konrad enjoy all the privileges accorded to the nobility. Then Isenhart's beloved Anna is murdered. Isenhart vows to hunt down her murderer. After witnessing another murder that displays a similar pattern, he makes friends with Henning and his foster father, Medicus Günther. Isenhart is fascinated by Henning, who he finds similar to himself in so many ways: he is learned, inquisitive and ahead of his time intellectually. Together they set out to hunt down the killer, only to make an astonishing discovery: the murderer is a genius ­ and very close by."
Jury ­ Der Tote im Pub;EPO ­ Filmproduktionsgesellschaft m.b.H.;1920000;300000;;Crazy Film GmbH;ZDF,ORF;90;2012;"Der Film basiert auf einem Kriminalroman von Martha Grimes. Scotland Yard setzt bei ungewöhnlichen Mordfällen gern seinen besten Mann ein: Inspektor Jury. Er wird in eine idyllische Kleinstadt geschickt, in der rätselhafte Morde passieren. Männer, die gerade im Ort zu Besuch waren, wurden grausam ermordet. Verdächtige gibt es viele, denn hinter den liebevollen Fassaden tun sich Abgründe auf. Bei seinen Ermittlungen greift Inspektor Jury erstmals auf die Hilfe des hochintelligenten Adligen Melrose Plant zurück, den er zunächst für einen arroganten Schnösel hält. So verschieden die beiden sind, so uneinig sind sie sich auch in ihren Methoden, dennoch freunden sie sich an und ermitteln erfolgreich.";"The film is based on a mystery novel by Martha Grimes. Scotland Yard prefers to entrust unusual murder cases to their best officer: Inspector Jury. He is sent to a quaint small town where a series of puzzling murders have occurred. Men just visiting the place were murdered in ghastly ways. The abysmal circumstances behind the picturesque façades give rise to many suspects. In his investigations, Inspector Jury resorts for the first time to the help of Melrose Plant, a highly intelligent aristocrat whom Jury first regards as an arrogant snob. As strongly as the two differ, they are hardly able to agree on methods, yet they become friends and the investigation proves successful."
K2 ­ The Italian Mountain;Terra Internationale Filmproduktion GmbH;4663028;920000;Cine Tirol;Redfilm S.r.l.;RAI;2x100;2012;"Zwölf Alpinisten haben denselben Traum, als erster Mensch die Spitze des K2 zu erreichen. Zwischen den Alpinisten entwickelt sich ein Konkurrenzkampf: nur zwei von ihnen werden die Flagge auf dem Dach der Welt hissen dürfen. Bonatti und Mahdi gelingt es zwar, die erforderlichen Sauerstoff-Flaschen hinaufzuschleppen, Compagnoni befürchtet aber, dass der jüngere Bonatti es als Erster schaffen könnte und verlegt daher das letzte Lager an eine andere Stelle. Bonatti und Mahdi überleben wunderbarerweise die längste Nacht ihres Lebens. Bei Sonnenaufgang, während sie bergabwärts gehen, sehen sie, wie Compagnoni und Lacedelli den letzten Teil des Hangs zur Bergspitze hinaufklettern. Diese beiden werden die italienische Flagge auf dem K2 hissen.";"Twelve alpinists pursue the same dream: to be the first to reach the summit of K2. The endeavour becomes a contest among the climbers, as only two of them will be allowed to raise the flag on the roof of the world. While Bonatti and Mahdi manage to carry up the necessary oxygen bottles, Compagnoni, fearing that the younger Bonatti could make it first, relocates the highest camp. Bonatti and Mahdi miraculously survive what is the longest night of their lives. As they descend at sunrise, they see Compagnoni and Lacedelli climbing the final approach to the summit, where they will be the ones to raise the Italian flag on K2."
Karl der Große;Gesellschaft für Video ­ Produktion m.b.H. Nfg. & Co KG;2315859;400000;Filmstiftung NRW,MEDIA,BLS,FFW,Land Niederösterreich;taglicht media Film- & Fernsehproduktion GmbH;WDR,Servus TV;1x90,1x120min,3x52;2011;"Unser Bild von Karl dem Großen ist das des ersten und größten Kaisers des Mittelalters. Er regierte ein Reich, das fast ganz Europa umfasste und verbreitete erfolgreich das Fürstentum. Seit einigen Jahren hat eine jüngere Generation von Forschern Belege zum Vorschein gefördert, die Karl in ein neues Licht rücken. In einer spannenden detektivischen Spurensuche machen sich Historiker auf den Weg, den Schleier der Verklärung zu lüften, den Karl seit Jahrhunderten umweht. Mehr und mehr tritt dabei der wirkliche Karl zum Vorschein. Auf ihrer Suche stoßen die Forscher vor bis ins Zentrum seiner Macht. In die Schreibstuben des Mittelalters, wo ein Überkaiser erfunden wurde, den es so nie gegeben hat. Mit seinem Tod zerfällt auch sein Reich.";"We imagine Charlemagne as the first great Medieval emperor. He ruled an empire encompassing almost all of Europe and successfully introduced the system of principalities. For several years a younger generation of scholars has been producing evidence that sheds new light on Charlemagne. In an exciting quest involving detective work, historians set out to lift the veil of glory that for centuries has enshrouded Charlemagne. Step by step, the real Charlemagne is revealed. In their quest, the researchers bring to light the true centre of the ruler's power: the circle of Medieval scribes who invented an ""Überkaiser"" that had never existed as we imagine him. His empire was destined to fall apart at his death."
Lautlose Morde;MONA Film Produktion GmbH;1752597;350000;;;ZDF,ORF;90;2009;"Illegale Medikamententests in einer psychiatrischen Klinik: Tatsache oder die Phantasie einer Patientin? Dieser Frage geht Andreas, dessen Frau Julia in der Klinik angeblich Selbstmord beging, nach, um die Wahrheit über ihren Tod zu erfahren. Julias Mitpatientin Sarah vermutet, dass seine Frau ein Opfer illegaler Medikamententests wurde. Er versteckt Sarah vor der Polizei und fährt mit ihr über die Grenze nach Österreich. Im Verlauf der Reise kommen sich die beiden näher. Zurück in Frankfurt wird Andreas mit erschütternden Informationen konfrontiert. Wem kann er noch vertrauen?";"Illegal drug experiments in a psychiatric clinic: a fact or just the fantasy of a patient? Andreas, whose wife Julia allegedly committed suicide in the clinic, investigates to discover the truth about her death. Julia's fellow patient Sarah presumes that she was the victim of illegal experiments involving drugs. Andreas hides Sarah from the police and drives her over the border to Austria. During the journey the two get to know and understand each other better. Back in Frankfurt, Andreas receives some distressing information. Who can he still trust?"
Lilly Schönauer VIII ­ Paulas Traum;Graf Filmproduktion GmbH;1491302;210000;Land Oberösterreich,Ferienregion Traunsee;Bavaria Fernsehproduktion GmbH;ARD,ORF;87;2009;"Die junge Konditorin Paula Breuer kehrt von New York in ihren Heimatort Gmunden am Traunsee zurück, um die traditionsreiche Konditorei ihres kürzlich verstorbenen Onkels neu zu eröffnen. Dass sie den gelernten Bäcker Lukas Matuschek als Partner gewinnen kann, ist nicht nur geschäftlich ein echter Glücksfall. Doch das Glück ist nicht von langer Dauer. Dem skrupellosen Immobilienhai Ferdinand Haller gelingt es, Paula mittels eines fingierten Kreditgeschäfts an den Rand des Ruins zu treiben. Nur mit einem cleveren Plan schafft es Lukas, Paulas Confiserie zu retten.";"Paula Breuer, a young confectioner, returns from New York to her home town of Gmunden on Lake Traun in Austria in order to take over the traditional patisserie of her recently deceased uncle. The fact that she is able to convince the baker Lukas Matuschek to become a partner is a stroke of luck, and not only in business terms. But her luck does not last long. The unscrupulous property developer Ferdinand Haller succeeds in driving Paula to the brink of ruin by means of a fabricated loan transaction. It is only Lukas' clever plan which saves Paula's patisserie."
Lilly Schönauer IX ­ Verliebt in einen Unbekannten;Graf Filmproduktion GmbH;1470960;210000;Land Kärnten,Tourismusregion Klopeiner See;Bavaria Fernsehproduktion GmbH;ARD,ORF;90;2009;"Clara Weichsler ist drauf und dran, mit ihrer Tochter Sophie und ihrem Verlobten Robert, gleichzeitig ihr Chef in einem renommierten Auktionshaus, nach London zu ziehen. Die Umzugskisten stehen schon bereit, da lernt Sophie den Kinderbuchillustrator Ben kennen, der sich nach dem Tod seines besten Freundes in eine Hütte am See zurückgezogen hat. Sophie und Ben mögen sich auf Anhieb, doch Clara ist misstrauisch, wird Ben schließlich vorgeworfen, ein Bild aus ihrem Auktionshaus entwendet zu haben. Als sie jedoch Ben näher kennenlernt, geraten ihre Gefühle in Aufruhr und ihre Entschlüsse ins Wanken.";"Clara Weichsler is about to move to London with her daughter Sophie and her daughter's fiancé Robert, who is also Clara's boss in a renowned auction house. The moving boxes are packed when Sophie meets Ben, an illustrator of children's books who has withdrawn to a hut on the lake after the death of his best friend. Sophie and Ben like each other immediately, but Clara distrusts him, as he has been accused of taking a picture from their auction house. However, as she gets to know Ben better, she becomes very emotional and unsure about the decisions she has made."
Lilly Schönauer X ­ Wo die Liebe hinfällt;Graf Filmproduktion GmbH;1510061;215000;Land Oberösterreich,Tourismusverband Ferienregion Traunsee/Attersee;Bavaria Fernsehproduktion GmbH;ARD,ORF;88;2010;"Valerie arbeitet in einem Reisebüro für Luxusreisen und ist heimlich in ihren Chef Martin verliebt. Als der Architekt Jan auf schicksalshafte Weise ihre Wege kreuzt und kurz darauf nach einem Unfall bewusstlos im Krankenhaus eingeliefert wird, taucht sie ungewollt in sein Leben ein und rettet ihn nicht nur privat, sondern auch beruflich. Jan kehrt nach Hause zurück und verliebt sich auf der Stelle in den Engel, der ihn gerettet hat. Doch gerade da wird Martin endlich auf Valerie aufmerksam und wünscht sich eine Beziehung mit ihr.";"Valerie, who works at an agency specialising in luxury travel, is secretly in love with her boss Martin. She fatefully crosses paths with Jan, an architect, who shortly afterwards has an accident and is taken unconscious to hospital. Valerie unwillingly becomes a part of his life, saving both his personal life and his career. On returning home Jan instantly falls in love with the woman he sees as the angel who saved his life. Yet at just that point Martin finally begins to notice Valerie and wishes to become involved with her."
Lilly Schönauer XI ­ Liebe mit Hindernissen;Graf Filmproduktion GmbH;1521845;215000;CINESTYRIA,Stadt Graz;Bavaria Fernsehproduktion GmbH;ARD,ORF;88;2010;"Laura findet einen Verlobungsring in der Schublade ihres Freundes Alexander. Sie ist sich sicher: Er wird am Wochenende bei seinen Eltern in der Steiermark um ihre Hand anhalten. Doch als Laura seine Familie kennenlernt, kommen ihr erste Zweifel. Alexanders Mutter macht kein Geheimnis daraus, dass Laura, die als Modedesignerin (noch) keinen Erfolg hat, nicht gut genug für ihren Sohn, den Trachtenmanufakteur, ist. Und als auch noch Susanne, Alexanders perfekte Ex-Freundin auftaucht, ziehen dunkle Wolken am siebten Himmel auf.";"Laura finds an engagement ring in her boyfriend Alexander's drawer. She is convinced that he will propose to her at the weekend, while they are visiting his parents in the Styrian countryside. On meeting his family, however, she begins to have doubts. Alexander's mother makes no secret of the fact that she considers Laura, an as yet unsuccessful fashion designer, not good enough for her son, a manufacturer of traditional dress. And when Susanne, Alexander's ex-girlfriend and a seemingly ideal match, arrives on the scene, the prospects for the two lovers become even gloomier."
Lilly Schönauer XII ­ Liebe auf den zweiten Blick;Graf Filmproduktion GmbH;1560676;235000;Cinestyria,Stadt Graz;Bavaria Fernsehproduktion GmbH;ARD,ORF;90;2011;"Die junge Bäuerin Sophie möchte den finanziell angeschlagenen elterlichen Hof auf biologische Landwirtschaft umstellen. Mit Hilfe ihres Freundes Martin, einem reichen Großbauernsohn, könnte das gelingen. Plötzlich steht jedoch ihre Jugendliebe Julian vor ihr. Er machte Karriere als Börsenmakler und will nun in der Privatbank seines Vaters arbeiten. Gleich sein erster Auftrag führt ihn auf den Hof von Sophie, deren Businessplan er überprüfen soll. Erwartungsgemäß kommt es zu Spannungen. Doch dann findet sie heraus, dass Martin ihren Vater nach der Hochzeit in eine Seniorenresidenz abschieben will. Gleichzeitig flammen die Gefühle zu Julian wieder auf. Als dessen Bank den nötigen Kredit verweigert, ist Sophie enttäuscht: Wem kann sie trauen?";"Sophie, a young farmer, wants to convert her parent's farm, in financial difficulties, to organic methods. She might well succeed, with the help of her boyfriend Martin, the son of a wealthy landowner. Yet all of a sudden her old teenage flame Julian appears. A successful stockbroker, he now wishes to work for his father's private bank. His first assignment leads him to Sophie's farm, where he is supposed to evaluate the business plan. Obviously, the situation becomes tense. Yet Sophie then discovers that Martin is planning to send her father to a nursing home after the wedding, while at the same time her feelings for Julian rekindle. When his bank refuses to grant the mortgage she needs, Sophie is disappointed: who can she trust?"
Lilly Schönauer XIII ­ Liebe mit Familienanschluss;Graf Filmproduktion GmbH;1565616;275000;Land Salzburg;Bavaria Fernsehproduktion GmbH;ARD,ORF;90;2011;"Erstmals seit ihrer Scheidung lässt sich die erfolgreiche Innenausstatterin Johanna wieder auf einen Mann ein. Sogar ihre beiden Kinder sind von dem sympathischen Rechtsanwalt Klaus angetan. Doch plötzlich steht Walter auf der Terrasse, in den sie vor 20 Jahren verliebt war und dem sie in die USA folgen wollte. Sie war jedoch mit ihrer Tochter Marie schwanger und entschied sich gegen ihn. Das Wiedersehen mit Walter weckt alte Gefühle, die sie vor Klaus zu verbergen versucht. Da berichtet ihre Tochter Marie, dass sie sich in Tom, der mit seinem Vater aus Amerika zu Besuch ist, verliebt hat. Johanna beginnt zu denken: Könnten Marie und Tom Halbgeschwister sein? Als ihr Sohn Max gesteht, er sei schwul, ist das für Johanna das geringste Problem.";"For the first time since her divorce, the successful interior designer Johanna becomes involved with a man. Even her two children take a liking to Klaus, a charming lawyer. Yet unexpectedly she sees Walter on the patio, the man she loved 20 years earlier and wanted to follow to the US. Pregnant with her daughter Marie, she had decided against Walter. Meeting up with Walter again arouses old feelings that she tries to hide from Klaus. Then Marie reveals that she has fallen in love with Tom, Walter's son who is visiting from the States. Johanna begins to wonder whether Marie and Tom might have the same father. When her son Max confesses to being gay, she finds that the least of her worries."
Lilly Schönauer XIV ­ Weiberhaushalt;Graf Filmproduktion GmbH;1578677;270000;Cinestyria,Stadt Graz;Bavaria Fernsehproduktion GmbH;ARD,ORF;90;2012;"Die räumliche Trennung von Ehemann Philip bedeutet für Eva eine echte Herausforderung. Plötzlich ist sie mit Kind und Karriere auf sich allein gestellt, denn auch ihr Vater kümmert sich am liebsten nur um sich selbst. Zusammen mit ihrer Freundin Lucy kämpft Eva um einen Auftrag, der für sie als Möbeldesignerin alles verändern könnte. Also zieht sie vorübergehend zu Lucy aufs Land, statt ihrem Mann, wie versprochen, nach Hamburg zu folgen. Dabei entdeckt sie, dass sie in dem provisorischen ""Weiberhaushalt"" ihren Traum von Familie viel besser leben kann. Und überraschenderweise macht ihr Eva bald ernsthaft Avancen. Philip kann mit all dem gar nicht umgehen und bemerkt spät, dass die kleine Familie zu zerbrechen droht.";"The spatial separation from her husband Philip proves a real challenge for Eva. She suddenly finds herself alone to tend to her child and her career, since her father also prefers to keep to himself. Together with her friend Lucy she is struggling for an order that could change her whole career as furniture designer. Consequently, she temporarily moves in with Lucy in the country instead of following her husband to Hamburg as agreed. She finds this temporary all-female household much better suited to realising her ideal of a family. And it comes as a surprise when Eva soon begins making serious advances towards her. Philip, finding it hard to cope with all this, realises almost too late that his small family is about to fall apart."
Luis Trenker ­ Der schmale Grat der Wahrheit;EPO ­ Filmproduktionsgesellschaft m.b.H.;3689000;627130;BLS,FFF Bayern,Cine Tirol;Roxy Film GmbH;BR,ORF;90;2013;"Der bekannte Südtiroler Bergsteiger und Schauspieler Luis Trenker lernt 1924 die junge, ehrgeizige Leni Riefenstahl kennen und lieben. Die Beziehung entwickelt sich aber bald zu einem künstlerischen Machtkampf zwischen den beiden Filmemachern. Zunächst scheint Trenker die besseren Karten zu haben, er avanciert zum Star des deutschen Kinos, gefördert von seinen Bewunderern Goebbels und Hitler. Doch als er erkennt, in welche Abhängigkeiten er sich begeben hat, wendet sich das Blatt. Es beginnt Trenkers langsamer Abstieg, von dem er sich auch nach Kriegsende nie mehr ganz erholen wird.";"The famous mountaineer and actor Luis Trenker from South Tyrol meets the young, ambitious director Leni Riefenstahl in 1924 and falls in love. But the relationship between the two cinematographers soon turns into a struggle for artistic supremacy. Trenker appears to have the upper hand at first, advancing under the patronage of his admirers Goebbels and Hitler to become the star of German cinema. The tide turns, however, as he realises in just whose thraldom he has put himself. It is the beginning of Trenker's gradual demise, from which he never, even after the war, quite recovers."
Medcrimes ­ Nebenwirkung Mord;MONA Film Produktion GmbH;1810541;351310;FFW;;RTL,ORF;90;2012;"Nach einem waghalsigen Einsatz schafft der Kripoermittler Alex Tanner es gerade noch rechtzeitig zum Abendessen mit seiner Ehefrau Julia. Sie beichtet ihm, dass sie eine Affäre hat und sich scheiden lassen will. Alex zieht umgehend zu seinem jüngeren Bruder Tommi. Als dieser versucht, Alex mit einer Tour durch die Stadtbars aufzuheitern, wird Tommi auf der Straße plötzlich niedergeschossen. Alex ist sich sicher, dass er das Ziel des Schützen hätte sein sollen. Er bringt Tommi sofort ins Krankenhaus, wo er ins Koma fällt. Die junge Ärztin Rita findet heraus, dass Tommi durch gefälschte Medikamente vergiftet wurde. Während Rita mit ihrem Team um Tommis Leben kämpft, versucht Alex herauszufinden, wie sein Bruder zu diesen Tabletten kam.";"After finishing a daring mission on duty, detective Alex Tanner just makes it home in time to have dinner with his wife Julia. She confesses to an affair and wants to file for divorce. Alex immediately moves in with his younger brother Tommi. Trying to cheer Alex up by taking him on a pub crawl, Tommi becomes a victim of a street shooting. Alex is sure that the bullet was meant for him. He immediately rushes Tommi to a hospital, and Tommi falls into a coma. Rita, a young doctor, discovers that Tommi has been poisoned with counterfeit medication. While Rita and her staff struggle to save Tommi's life, Alex tries to find out how his brother got the fake pills."
