Titel;Produzent;Gesamtherstellungskosten (EUR);Fernsehfonds Austria (EUR);Förderinstitutionen;Ko-Produzenten;Fernsehsender;Länge (Min.);Jahr;Beschreibung (de);Beschreibung (en)
Euphoric Nights in Vienna;MISCHIEF FILMS ­ VEREIN ZUR FÖRDERUNG DES DOKUMENTARFILMS KEG;270676;52523;FFW,Land Niederösterreich;;ORF,Al Jazeera,SRF;52/80;2012;"Asmahan ­ syrische Drusenprinzessin, Filmdiva, Musikikone und Femme fatale der arabischen Welt der 40er-Jahre. Als Wien im Zweiten Weltkrieg von den Alliierten bombardiert wird, singt sie ""Euphoric Nights in Vienna"" und schafft damit einen Mythos von Wien, der bis heute die Sehnsüchte und Hoffnungen von Reisenden und Immigranten aus dem Mittleren Osten bestimmt. Wenig später kommt Asmahan in Ägypten unter mysteriösen Umständen ums Leben. Der Film spürt den Verheißungen des Liedes nach, führt an wichtige Schauplätze aus Asmahans Leben und trifft dabei auf Menschen, die sich auf der Suche nach ihrer Identität zwischen Kulturen von Ost und West, zwischen Traum und Wirklichkeit bewegen.";"Asmahan ­ Syrian Druze princess, film diva, music icon and femme fatale of the Arab world in the 1940s. As Vienna is being bombed by the Allies during World War II, she sings ""Euphoric Nights in Vienna"", creating a myth of Vienna that has aroused the desires and hopes of Middle East travellers and immigrants to this day. A short time later she dies in Egypt under mysterious circumstances. The film traces the promises held out by the song and visits important venues in Asmahan's life. People are introduced who are on a quest for their identity, moving between the East and the West ­ between their dreams and reality."
Face Human Rights;Alternative Productions GmbH;180942;30220;CINESTYRIA,Stadt Graz;DoRo-Filmproduktionsgesellschaft mbH;ORF;60;2010;"In sensiblen Interviews mit einer Auswahl von ca. 40 Protagonisten werden die Gründe der Auswanderung aus ihrer Heimat und des Kommens nach Österreich ausgelotet und versucht, die jeweils spannenden, interessanten zum Teil auch schockierenden und traurigen, in der überwiegenden Zahl aber positiven Biographien der Protagonisten herauszuarbeiten.";"Sensitive interviews of some forty select individuals probe into the reasons for their emigrating from their home countries and coming to Austria, in an attempt to shed light on their experiences, which are always fascinating and intriguing, and for the most part positive yet sometimes shocking and saddening as well."
Falco ­ Muss ich denn sterben, um zu leben;Alternative Productions GmbH;166537;33300;FFW;DoRo-Filmproduktionsgesellschaft mbH;Servus TV;60;2010;"Ende 2010 jährte sich zum 25. Mal der Erfolg des legendären Falco-Albums ""FALCO 3"". Von Österreich aus wurde diese Produktion ein Welterfolg. So war Falco mit ""Amadeus"" nicht nur als erster Österreicher überhaupt Platz 1 der US-Billboard-Charts, sondern auch an der Spitze der Hitparaden in England, Japan und in ganz Europa. Mit unveröffentlichten Filmaufnahmen rund um die Falco-Produktion, Gesprächen mit Zeitzeugen und Stars sowie Drehs an Originalschauplätzen der berühmten Falco-Videos soll diesem einmaligen österreichischen Ereignis Rechnung getragen werden.";"Late 2010 marks the twenty-fifth anniversary of the singer Falco's legendary album FALCO 3. Taking off from Austria, the recording climbed to international success. With the single ""Amadeus"" Falco was not only the first Austrian to reach first place on the US Billboard Charts but also to top the hit parades in Britain, Japan and all of Europe. To commemorate this singular event in Austrian cultural history, the film presents yet unpublished video material related to the Falco production, interviews with eye-witnesses and star performers as well as scenes from the original locations of the famous Falco videos."
First on Mount Everest;Gesellschaft für Video - Produktion m.b.H. Nfg & Co KG;763357;130000;FFW,BLS;taglicht media Film- & Fernsehproduktion GmbH,Monaco Film GmbH;ORF,ARTE,WDR;48;2010;"Am 29. Mai 1953 steht der Neuseeländer Edmund Hillary als erster Mensch auf dem Mount Everest ­ dem höchsten Berg der Erde. Mit dem Gipfelsieg auf 8.850 Metern kennt die Weltkarte der Entdecker keine weißen Flecken mehr. Der Mensch bezwingt die Natur. Aber plötzlich tauchen Zweifel auf: War Hillary wirklich der erste Mensch auf dem Dach der Welt? 1999 entdeckte der deutsche Geologe Jochen Hemmleb mit seinem Team auf 8.300 Metern Höhe, knapp unterhalb des Gipfels des Mount Everest, die Leiche seines möglichen Erstbesteigers ­ des Engländers George Mallory.";"It is May 29, 1953: Edmund Hillary of New Zealand is the first person ever to stand at the summit of Mount Everest ­ the world's highest mountain. The climb to an altitude of 8,850 metres removed the last blank spot on explorers' maps. A victory of man over nature. Yet all of a sudden doubts are raised: was Hillary really the first to reach the top of the world? In 1999, at an altitude of 8,300 metres, just below the summit of Mount Everest, German geologist Jochen Hemmleb and his team discovered the body of the climber who had possibly been the first to the top ­ the Briton George Mallory."
Food Markets ­ The Belly of The city;Golden Girls Filmproduktion & Filmservices GmbH;820162;70000;MEDIA plus,FFW;Stefilm International s.r.l.-PRODUCTIONS AND COPRODUCTIONS,Laokoon Films Arts Filmgyarto Ess Filmforgalmazo Kft,Media 3.14.S.L;ZDF/ARTE,RAI,TV3 Catalunya,SBS,RSI,MTVA,RTV Slovenija;5x52;2012;"Die Lebensmittelmärkte sind die Lebenszentren, die großen Bäuche unserer Metropolen. Wir kennen sie. Wir lieben sie. Doch wie funktionieren sie? Woher und wie kommt diese unüberschaubare Menge an frischen Nahrungsmitteln jeden Tag in die Vitrinen der Stände? Wer bestimmt die Preise? Wer entfernt die Tonnen von Abfall, die jeden Tag am Abend angefallen sind? Wie sind diese pulsierenden Märkte mit dem täglichen Leben der Städte verbunden? Welche Rolle spielen sie im Leben der Bürgerinnen und Bürger? Barcelona, Wien, Turin, Budapest und Lyon: eine sinnliche und aufregende Reise in die Zentren unserer hungrigen Städte.";"Supermarkets are the centres of life and the `big bellies' of our major cities. We know them. We love them. But how do they work? Where do such unfathomable amounts of fresh foods come from and how do they get to the store refrigerator shelves every day? Who sets the prices? Who gets rid of the tonnes of refuse in the evening that has accumulated during the day? How are these teeming supermarkets connected with urban life? What part do they play in residents' lives? Barcelona, Vienna, Torino, Budapest and Lyon: an exciting trip to the centres of our hungry cities, for all the senses."
For My Sisters;PLAESION Film + Vision e.U.;260000;52000;FFW,Land Niederösterreich;Seven Film- und Postproduction GmbH;ZDF;60;2013;"""For My Sisters"" folgt den Spuren der Jazz-Sängerinnen Alberta Hunter, Sarah Vaughan, Carmen McRae und Nina Simone alias ""Big Sisters"" durch das Jazz-Age. Es ist eine Filmreise mit der Sängerin Carole Alston als charmante, eloquente, neugierige und den Jazz aus Überzeugung lebende Reiseleiterin, eine Jazz-Expedition, die die musikalische Vergangenheit mit der Gegenwart verbindet und die dabei die Themen und Lebenswirklichkeiten der ""Big Sisters"" jenen der heutigen Generation schwarzer Sängerinnen gegenüberstellt. Ein Roadmovie durch die Zeit und eine persönliche Suche nach den Wurzeln, aber auch nach der Zukunft des Jazz.";"""For My Sisters"" traces the jazz singers Alberta Hunter, Sarah Vaughan, Carmen McRae and Nina Simone on a tour through the Jazz Age. The documentary journey is hosted by Carole Alston, a charming, eloquent and inquisitive tour guide who lives jazz out of conviction. Linking music history with the present, she contrasts the themes and realities dominating the lives of the `big sisters' with those of today's generation of black female singers. This road movie is a trip through time, and at the same time a personal search for both the roots and the future of jazz."
Gas Monopoly;FISCHER FILM GmbH;427466;60000;FFW,EU/PRINCE 2009;;ORF,ARTE;95;2010;"Der Film stellt die Frage, woher wir das Gas nehmen, das wir so dringend brauchen. Gas ist im Unterschied zu Öl unsichtbar ­ die Phantasie in Medien und Kunst hat sich stets am Öl entzündet. Gerade weil das Thema so wenig beleuchtet ist, wird das Gasgeschäft in großen, starken, prägnanten Bildern vorgestellt: unbekannte Landschaften, beeindruckende Anlagen zu Land und zu Wasser, tonangebende Protagonisten der Gasbranche in eindrucksvollen, noch nicht gesehenen Räumen.";"The film raises the question: where will we get the gas we so urgently need? Gas is invisible, unlike oil ­ which has consistently fired the imaginations of media producers and artists. Especially because so little light has been cast on the subject, the gas business is presented in big, graphic and succinct images: unfamiliar landscapes, giant gasworks on land and sea, and major players in the gas industry speaking from their plush, previously unseen offices."
Gipfel der Genüsse;PRISMA Film- und Fernsehproduktion GmbH;417082;65000;FFW;Eikon Südwest GmbH;ZDF/ARTE;5x30;2009;"Gebirge und Kulinarik ­ die Reihe ""Gipfel der Genüsse"" begibt sich auf eine Reise durch die grandiose europäische Gebirgswelt und trifft auf Menschen, die uns über das Kochen hinaus Einblicke in ihr Leben, in die regionale Kultur, Tradition und Geschichte geben. Der Umgang mit der Natur und die Wertschätzung der regional angebauten Lebensmittel bringen einzigartige kulinarische Spezialitäten hervor. Ob einfach am Holzofen oder aufwändig in der Sterneküche gekocht ­ hochwertige Zutaten und Hingabe an die Kochkunst machen jedes der vorgestellten Essen zum Genuss!";"Mountains and food ­ the series ""Gipfel der Genüsse"" (roughly: ""At the heights of culinary pleasure"") embarks on a journey over the grand mountains in Europe and encounters people who not only present regional foods and cooking, but also provide insight into their individual lives, regional culture, traditions and history. A sustainable approach towards nature and an appreciation for regionally grown foods are the prerequisites for unique culinary delicacies. Whether prepared simply in a wood stove or in a sophisticated way in starred restaurants, high-quality ingredients and a love of cooking make each of the meals presented a delightful experience."
Gonsalvus;EPO ­ Filmproduktionsgesellschaft m.b.H.;681316;109045;BMUKK,Land Niederösterreich;;ORF,ARTE;52;2012;"Der im Jahr 1537 auf Teneriffa geborene Petrus Gonsalvus litt an der seltenen Krankheit ""Hypertrichose"", auch bekannt als ""Ambras-Syndrom"". Sein Körper war zeitlebens völlig behaart. Über Umwege gelangte er unter Heinrich II. an den französischen Hof und diente dort den Hofärzten als ""Affenmensch"" für Experimente. Bald stellte sich jedoch heraus, dass Gonsalvus ein hoch intelligentes, feinsinniges Wesen ist. Er wird mit Catherine, der Tochter einer Hofbediensteten, verheiratet. Aus dieser Ehe entspringen mehrere Kinder, welche aber nicht alle an dieser seltenen Krankheit leiden. Petrus und Catherine bleiben für mehr als 40 Jahre zusammen. Ihre Geschichte bildete die Basis zur Legende ""The Beauty and the Beast"".";"Pedro Gonzalez (or Petrus Gonsalvus), born 1537 in Tenerife, suffered from a rare disease known as hypertrichosis or Ambras syndrome. His body was completely covered with hair. Circumstances led him to the court of the French king Henry II, where the `ape-man' served court physicians as the subject of experiments. Yet they soon recognised Gonzalez to be a highly intelligent and sensitive person. He was married to Catherine, the daughter of a court official. The marriage produced several children, not all of whom suffered from the rare disease. Pedro and Catherine stayed together for more than 40 years. It was their story that shaped the legend of ""Beauty and the Beast""."
Grenzfälle;Langbein & Partner Media GmbH & Co KG;254662;21500;FFW,Land Oberösterreich,Cinestyria;;Servus TV;52;2011;"In dieser Dokumentation besucht Robert Menasse Menschen, die Besonderes beim Überwinden der Grenzen leisteten. Er trifft Grenzgänger, Grenzschützer und Grenzbewohner. Anfangs besucht er die Grenze zur tschechischen Republik in der Nähe von Gmünd, wo er als Kind bei seiner Großmutter war und erstmals an die (persönliche) Grenze ging, er spricht dort mit Angehörigen von Familien, die durch Grenzen getrennt wurden. Er untersucht nach und nach den Zustand der politischen Grenzen zu allen Nachbarländern und die Orte, wo neue Grenzen gezogen wurden. Er erzählt von Grenzerfahrungen, wann und wo Grenzen gezogen wurden und schließlich überschritten werden, von sprachlichen und menschlichen Grenzen, von Grenzen der Natur und jenen der Mentalitäten.";"This documentary presents author Robert Menasse as he encounters people who have contributed in a special way to overcoming borders. He meets with border crossers, border guards and border residents. He starts by visiting the Austrian-Czech border near the town of Gmünd where, as a child visiting his grandmother, he had his first experience of a physical and personal border. There he speaks with members of families who were separated by the border. He goes on to examine the situation at each of Austria's political borders with neighbouring countries, as well as places where new borders have been erected. He talks about border experiences, when and where borders were erected and later overcome, language borders and borders between people, as well as natural and mental borders."
Hanna Reitsch ­ Hitlers Fliegerin;Interspot Film-Gesellschaft m.b.H.;420931;83628;FFW;;ORF;50;2010;"Hanna Reitsch war die Vorzeigefrau der Nazis ­ obwohl sie allen Idealen einer deutschen Frau widersprach. Sie wurde zur größten deutschen Pilotin aller Zeiten: Sie brach Rekorde, flog den ersten funktionsfähigen Hubschrauber der Welt, testete Überschallflugzeuge und Geheimwaffen. Mit ihr begann das Zeitalter der Raumfahrt. Sie wollte den Krieg mit Kamikazeflügen entscheiden. Sie flog ins zerbombte Berlin und traf Hitler kurz vor seinem Tod. Hanna Reitsch benutzte Hitler, und er benutzte sie. Sie vereint Modernität, Wagemut, grenzenlose Opferbereitschaft und unfassbare Naivität. Sie ließ sich von einem Regime unterstützen, an das sie bis zu ihrem Tod glaubte.";"Hanna Reitsch was the Nazis' model woman ­ even though she completely contradicted the ideal of the German Frau. She became Germany's most famous female pilot, breaking records, flying the world's first successful helicopter, and testing supersonic aircraft and secret weapons. Her career marked the launch of space flight. She wanted the war to be won with kamikaze attacks. She flew into bombed Berlin and met with Hitler shortly before his death. Hanna Reitsch used Hitler ­ and he used her. She represents at once modernity, audacity, unconditional allegiance and unimaginable naiveté. She let herself be supported by the Nazi regime and believed in it as long as she lived."
Heilen ohne Pillen und Skalpell;Langbein & Partner Media GmbH & Co KG;96893;18550;FFW;;Servus TV;50;2013;"Filmemacher Kurt Langbein, ein erfahrener Wissenschaftsjournalist, hat seine Erfahrungen als Krebspatient im Film ""Wunder Heilung"" festgehalten. Nun verlässt er die persönliche Ebene und begibt sich auf eine Entdeckungsreise zur neuesten Forschung zum Thema Heilung. Joachim Bauer, Neurobiologe, Internist, Psychiater und Autor zahlreicher Bestseller zum Thema Empathie und Hirnforschung, steht als wissenschaftlicher Wegbegleiter zur Seite. Schamanen, Voodoo-Priester, Mental-Coaches und Meditationslehrer ­ Forscher zeigen, was dahinter steckt. Für manches Rätsel liefern Epigenetik, Placebo- oder Nocebo-Forschung und vor allem die Psycho-Neuro-Immunologie überraschend klare Antworten.";"Film producer and recognised science journalist Kurt Langbein recorded his experiences as a cancer patient in his film ""Miracle of Healing"". Departing from that personal vantage, here he embarks on a voyage of discovery, exploring the newest research into healing. His scientist companion is Joachim Bauer who, as a neurologist, psychiatrist and psychosomatic specialist, has authored numerous best-sellers on the topic of empathy and neurology. Shamans, voodoo priests, mental coaches and teachers of meditation ­ scientists reveal the underlying facts. Surprisingly clear answers to certain mysteries are provided by epigenetics, research into placebo and nocebo effects, and especially psycho-neuro-immunology."
Helmut Qualtinger;Dor Film-produktionsgesellschaft m.b.H.;240908;48180;FFW;;ORF,ZDF;89;2011;"""In Wien muasst erst sterben, damit se di hochleben lassen. Oba dann lebst lang."" Mit diesem Satz beendet Helmut Qualtinger selbst die Dokumentation ""Qualtinger"", die sein künstlerischer Ziehsohn André Heller gestaltet hat. Es ist ein Filmportrait der besonderen Art, eine von vielen Würdigungen, die an den ""genialen Menschen"" erinnern. Heller verwendete privates Archiv-Material, sprach mit Familienangehörigen wie Qualtingers Sohn Christian und seiner zweiten Lebensgefährtin Vera Borek, lud Franz Schuh und Josef Hader zu Analysen ein. Qualtinger kommt aber auch selbst zu Wort. Originaldokumente zeigen ihn als Kabarettisten, als Film- und Theaterschauspieler, als Autor und Komödianten, als Vater und Ehemann, als Beobachter und Versteller.";"""In Vienna you have to die first before you live in people's memory. But then you live long."" The quote comes from Helmut Qualtinger himself at the end of the documentary Qualtinger, produced by an artist he mentored: André Heller. The unique film portrait includes many statements of praise that bring back to mind the ""genius"" that he was. For the portrait Heller drew on private archive footage, talked to Qualtinger's family members such as his son Christian and second spouse Vera Borek, and invited analytical contributions from Franz Schuh and Josef Hader. Yet Qualtinger also speaks for himself. In original material he appears as cabaret artist, cinema and theatre actor, author and comedian, father and husband, and as an observer and an impostor."
Hoch hinaus;Epo ­ Filmproduktionsgesellschaft m.b.H.;99628;19793;BMUKK,FFW;;ORF;30/45;2013;"Der DC Tower, mit 220 Metern höchstes Gebäude Österreichs, wurde 2013 eröffnet. Der Film begibt sich auf eine Reise durch das neue Stadtviertel Donau-City. Von der Römerzeit bis zur Donauregulierung eine unwegsame Sumpflandschaft, befanden sich in dieser Gegend bis 1972 eine Müllhalde und ein veritables Elendsviertel, ehe die Neue Donau und die UNO-City errichtet wurden. Mit dem Auftrag an Dominique Perrault soll es nun das modernste Viertel Wiens und ein Vorzeigeprojekt für kommende Generationen werden. Spektakuläre Flugperspektiven auf den gigantischen Glasturm, 3D-Aufnahmen, animierte Zeichnungen und Pläne aus dem Architekturbüro Dominique Perraults ergänzen das Filmmaterial.";"The DC Tower, at 220 metres Austria's tallest building, was opened in 2013. The film takes a tour of the new Donau-City section of Vienna. An impassable marsh landscape from Roman days until the time the River Danube was regulated, this area was the home of a refuse dump and a veritable slum before the New Danube and the UNO City were erected in 1972. Dominique Perrault was contracted with the task of transforming the area into Vienna's most modern quarter and creating a showcase project for generations to come. The film footage is supplemented by spectacular aerial views of the monumental glass tower, three-dimensional perspectives, animated sequences and plans taken from Dominique Perrault's offices."
In der Schuldenfalle;ON-MEDIA TV- und Filmproduktion GmbH;282515;53000;;;ATV;8x50;2010;"Der Weg in die Schuldenfalle ist steil und passiert meist schnell. Aus Scham und Angst vor Stigmatisierung suchen Betroffene oft erst dann den Weg zu Schuldenberatungsstellen, wenn es zu spät ist. Dabei geraten viele ohne eigenes Verschulden in die Schuldenfalle. Der Verlust des Arbeitsplatzes, eine Scheidung oder andere Schicksalsschläge bringen ein stabiles finanzielles Gerüst schnell zum Einsturz. Daneben überfordern oftmals die Kosten für Handy, Internetbestellungen, Miete und Alimente die Geldbörse. Mit professioneller Beratung und Hilfe durch die Anwältinnen und Schuldenberaterinnen wird in dieser Dokumentar-Reihe Betroffenen geholfen.";"Falling into the debt trap is easy and usually happens quickly. Out of shame and fear of being stigmatised, people in debt often do not seek counselling services until it is too late. The fact is that many fall into debt through no fault of their own. A job loss, a divorce or some other misfortune can quickly cause a stable personal financial situation to collapse. Mobile phone bills, online shopping, rent and alimony often put additional strain on an overburdened wallet. This documentary series shows how professional advice and assistance from attorneys and debt counsellors can help individuals in debt."
Inn ­ Der grüne Fluss aus den Alpen;Interspot Film-Gesellschaft m.b.H.;393123;68860;Land Oberösterreich,BMUKK,FFW,Land Tirol,Cine Tirol;;ORF,SF;52;2009;"Die Dokumentation folgt dem Flusslauf von der Quelle am Piz Lunghin bis zur Mündung in die Donau. Während der Reise sehen wir herausragende Naturereignisse an den schönsten Orten am Fluss oder in seiner Umgebung: die Zusammenkunft der Grasfrösche im Quellgebiet, Steinböcke und Gämsen im einzigen Schweizer Nationalpark, den Wildfluss und seine Unterwasserbewohner, die Schluchtwälder, die Schotterbänke mit seltenen Insekten und Pflanzen, die Schilfwälder, Sandinseln und Weidendickichte am Unterlauf, wo tausende Lachmöwen in einer Kolonie brüten und Biber und Fischotter die Auen bewohnen.";"This documentary follows the Inn river from its source on the Piz Lunghin mountain in Switzerland to its entry in the Danube in Passau, Germany. The most terrific natural phenomena and the most enchanting places and towns on this journey along the river and nearby are shown, including the gathering of grass frogs at the river's headwaters, ibex and chamois in Switzerland's only national park, the unregulated river and its underwater inhabitants, ravine forests, the gravel bars with rare species of insects and plants, reed areas, sand islands and willow thickets in the lower stretches of the river where myriads of black-headed gulls breed in colonies, and where beavers and otters populate the wetlands."
Joschi und die Stars ­ die Serie;FISCHER FILM GmbH;140649;28000;FFW,Land Oberösterreich;;ORF;2x30;2013;"Für die einen ist Film das große Geschäft; für andere die große Kunst; und für wieder andere das große Warten. Letzteres gilt vor allem für jene, die Film als Arbeitsalltag erleben. Der Filmfahrer Joschi Deininger ist einer von ihnen. Während des Wartens hat er Zeit, sich Gedanken zu machen über dieses glamouröse Metier, das in letzter Zeit als ""Österreichisches Filmwunder"" auch der breiten Öffentlichkeit ins Bewusstsein gerückt ist. Die Serie knüpft an das erfolgreiche Pilotprojekt an und begleitet in vierteljährlichen Abständen das österreichische Filmgeschehen. Aus den Geschichten entwickelt sich eine ­ ganz subjektive ­ Geschichte des österreichischen Films.";"Films are about superlatives: big business for some, great art for others, and again for others an eternal wait. The latter is true for people who experience films as part of their everyday work; Joschi Deininger, actors' driver by trade, is one of them. During his waits he has time to think about this glamorous industry, which has recently also come to the attention of the public at large as the `Austrian Filmwunder'. In continuation of the successful pilot film, every three months the series presents developments in Austria's film industry. The stories render a ­ highly subjective ­ history of Austrian film."
Joschi und die Stars ­ ein Roadmovie;FISCHER FILM GmbH;241128;48150;FFW,Land Oberösterreich,Land Kärnten;;ORF;70;2011;"Für die einen ist Film das große Geschäft; für andere die große Kunst; und für wieder andere das große Warten. Letzteres gilt vor allem für jene, die Film als Arbeitsalltag erleben, Joschi Deininger, der Filmfahrer, ist einer von ihnen. Er ist Filmspezialist, dank seines, durch die Berufspraxis, geschärften Blicks. Es geht um einen ganz anderen, wenngleich durchaus profunden Blick auf das Medium Film. Die Dokumentation begleitet Joschi von den Dreharbeiten zu verschiedenen Filmproduktionen bis zu deren Premiere. Joschi entwickelt dabei seine Sicht auf einzelne Projekte, aber auch auf die Szene überhaupt. Aus den ""G'schichterln"" entwickeln sich Geschichten, aus den Geschichten eine ­ ganz subjektive ­ Geschichte des österreichischen Films.";"Films are about superlatives: big business for some, great art for others, and for yet others eternal waits. The latter is true for people who experience films as part of their everyday work; Joschi Deininger, actors' driver by trade, is one of them. He is a film expert ­ thanks to the sharp perspective provided by his job, i.e. a completely different, yet no less profound, perspective of film as a medium. The documentary follows Joschi, from the filming of various productions to their cinema premieres. Joschi develops his own views of individual projects and of the cinematography scene as a whole. Anecdotes give rise to stories, which in turn render a ­ highly subjective ­ history of Austrian film."
Judenburg findet Stadt;AMOUR FOU Filmproduktion GmbH;179374;32400;CINESTYRIA,ffw,Land Steiermark,Stadt Judenburg;Irene Höfer (Medea Film);ORF;75;2010;"Die Kamerafrau und Regisseurin Elfi Mikesch reist von Berlin über Wien und Graz in ihre Geburtsstadt Judenburg, aus der sie in den 1960er-Jahren aufgebrochen war, um als Fotografin und Filmemacherin international bekannt zu werden. ""Judenburg findet Stadt"" ist ein Portraitfilm über eine Kleinstadt, über Fotografen, Künstler und die Bewohner der Stadt. Ein Film über Fotografie, Medien und Musik. Der Film beschreibt die Suche nach den Bildern der Stadt und nach dem Klang, der diesen Bildern innewohnt.";"Cinematographer and director Elfi Mikesch travels from Berlin via Vienna and Graz to her birthplace Judenburg, from where she set out in the 1960s to become an internationally renowned photographer and filmmaker. ""Judenburg Now"" is the portrait of a small town and its photographers, artists and residents. A film about photography, media, music and the quest for the images of the town and the sound they reveal."
Karl Merkatz ­ Vom Tischler zum echten Wiener;Cult-Filmproduktionsgesellschaft m.b.H.;117817;18000;Land Salzburg,FFW,Land Niederösterreich,Salzburg Agentur,Stadt Salzburg;Marcus Halbig (Media Halbig);ORF;58;2010;"Der Film erzählt die Lebensgeschichte des durch seine Rolle als Edmund Sackbauer in ""Ein echter Wiener geht nicht unter"" in Österreich berühmt gewordenen Volksschauspielers Karl Merkatz. Es ist eine durch die Erinnerung subjektiv gefärbte Geschichte eines Mannes, der, in widrige Verhältnisse hineingeboren, über die Rolle seines Lebens ""stolpert"" und damit die damalige Fernsehwelt in Österreich in zwei Lager gespalten hat. Ein oft sehr ernster, aber nicht immer ernst gemeinter Rückblick eines erfolgreichen Schauspielers, der seine Lebensrolle vorerst gar nicht spielen wollte und der privat so gar nichts mit dem ""Mundl"" gemeinsam hat.";"The film relates the life-story of popular actor Karl Merkatz, who attained Austria-wide fame through his role as Edmund Sackbauer in the series ""Ein echter Wiener geht nicht unter"". From a viewpoint tainted subjectively by memory, the story is told of a man from miserable origins who stumbles on the role of his life and goes on to divide the Austrian viewing audience of the time into two camps. Often earnest but not always to be taken seriously, the successful actor looks in retrospect at the role of his life, which he had in fact refused at first, hardly able to identify personally with ""Mundl""."
Leichter als Luft;Heinz Zeggl GmbH;189270;36000;FFW;;ARTE,ORF;70;2009;"Der Film behandelt die Jugendjahre einer Kommune, die Anfang der 1970er-Jahre nicht nur eine neue Art des Zusammenlebens ausprobieren wollte, sondern auch einen Aktionsplan hatte: mit eigenen Händen ein Luftschiff bauen, damit rund um die Welt fliegen und Menschen in der Dritten Welt helfen. Aus heutiger Sicht stellt sich die Frage: Waren sie verrückt oder ist es nicht auch die ""reale Welt""? Für diesen Film ist Michael Brauner, der damals selbst Teil des Kollektivs war, rund um die Welt gereist und hat in Ghana, Spanien, Kanada und in den USA einige seiner ehemaligen Genossen getroffen.";"This film is about the early years of a commune at the beginning of the 1970s. Its members not only wanted to try out a new way of living together, but also had a plan for action: building an airship with their own hands, flying around the world in it and helping people in the Third World. From today's point of view the question arises: were they just mad or is this also a part of the ""real world""? Michael Brauner, who was a member of the commune once himself, travelled around the world for this film and met some of his former fellow members in Ghana, Spain, Canada and the US."
Lipizzaner ­ Könige und Krieger;Satel Film GmbH;626663;115000;Land Niederösterreich,FFW,Cinestyria;ScienceVision Filmproduktions GmbH;Servus TV;53;2011;"""Lipizzaner ­ Könige und Krieger"" ist ein Film voll atemberaubender Bilder und packender Geschichten über die älteste Kulturpferderasse der Welt. Einst wegen ihres Muts und Charakters für Kriegszwecke gezüchtet, verströmen Lipizzaner-Hengste in der Spanischen Hofreitschule in Wien heute noble Eleganz. Die perfekte Harmonie zwischen Reiter und Pferd ist das Resultat einer intensiv gepflegten Beziehung. Dieses Portrait der weltberühmten weißen Pferde gewährt nicht nur Einblicke hinter die Kulissen der Spanischen Hofreitschule und in das Familienleben der weißen Stars, sondern erzählt die einzigartige Geschichte ihrer Entstehung ­ von ihren archaischen Ursprüngen in Nordafrika zum Repräsentationspferd des europäischen Hochadels.";"Lipizzans ­ Kings and Warriors presents a wealth of breathtaking images and thrilling tales relating to the world's oldest domesticated horse breed. Once bred for their courage and character to serve in war, today the Lipizzan stallions at Vienna's Spanish Riding School exude noble elegance. The rider intensively grooms a relationship with the horse that culminates in perfect harmony between the two. This portrait of the world-famous white steeds provides a behind-the-scenes view of the Spanish Riding School and of the white stars' family lives, while also recounting the unique history of the breed's beginnings ­ from its archaic origins in North Africa to its role in pageants staged by Europe's high aristocracy."
Login 2 Life;Eidolon Entertainment / Thomas Strasser;276407;41970;FFW,Kuratorium junger dt Film,Land Salzburg;Daniel Moshel (Moshel Film);ZDF,ORF;90;2010;"50 Millionen Menschen bewegen sich täglich in virtuellen Welten. Für viele ist es mehr als nur ein Spiel, nicht ihr zweites, sondern ihr erstes Leben: Sie erwirtschaften darin ihren Lebensunterhalt, verwirklichen sich selbst ­ oder erleben einfach das, was ihnen in der Realität aufgrund von Krankheit oder Behinderung verwehrt ist. ""Login 2 Life"" begleitet zwei Menschen, denen die virtuelle Welt zur alternativen Heimat geworden ist. Dies ist der Ausgangspunkt einer Reise durch faszinierende fremde Welten zu Menschen in verschiedenen Erdteilen, die nur eines gemeinsam haben: Sie wissen den synthetischen Raum als Erweiterung ihres Lebens zu nutzen.";"Fifty million people a day are on the move in virtual worlds. For many it is more than just a game, not their second but their first life: here they earn their livings, realize their true selves ­ or, hampered by illness or disability, simply experience things they are unable to do in the real world. ""Login 2 Life"" follows two individuals who have found an alternative home in the virtual world. This serves as the port of departure on a journey through strange and fascinating worlds to people from all over the planet who have only one thing in common: the ability to use synthetic space to enrich their lives."
