Organisation,Sitz,Gesetzliche Grundlage ihrer Errichtung,Zahl der überwiegend als Interessenvertreter tätigen Personen,Bestätigte geschätzte Kosten der Interessenvertretung in ,Jahr,Webseite
Landesgremium des Papier- und Spielwarenhandels,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"12469,88",2014,"https://www.wko.at/content.Node/branchen/t/Papier--und-Spielwarenhandel/Startseite_-_Papier-_und_Spielwarenhandel,_Landesgremium.html"
Fachgruppe der Holzindustrie,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,12476,2014,https://www.wko.at/content.Node/branchen/sbg/Holzindustrie/Startseite---Holzindustrie--Fachverband.html
Landesinnung der Gesundheitsberufe,"Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"12478,35",2014,https://www.wko.at/content.Node/branchen/stmk/Gesundheitsberufe/Startseite-Gesundheitsberufe.html
Landesgremium des Agrarhandels,"Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"12492,93",2014,http://wko.at/stmk/produkten
"Fachgruppe der Autobus-, Luftfahrt- und Schifffahrtunternehmungen","Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,12541,2014,"https://www.wko.at/Content.Node/branchen/b/TransportVerkehr/Autobus-Luftfahrt-und-Schifffahrtunternehmungen-Fachgruppe/Startseite_-_Autobus-,_Luftfahrt-"
"Landesgremium des Versand-, Internet- und allgemeinen Handels","Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"12545,9",2014,https://www.wko.at/ktn/internethandel
Fachgruppe der Seilbahnen,"Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"12550,76",2014,http://wko.at/stmk/seilbahnen
Fachgruppe der Spediteure,"Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"12550,76",2014,http://wko.at/stmk/spediteure
Landesgremium des Agrarhandels,"Landsbergerstraße 1, 3100 St. Pölten","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"12625,75",2014,http://wko.at/noe/agrarhandel
Landesgremium des Elektro- und Einrichtungsfachhandel,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"12653,53",2014,"https://www.wko.at/Content.Node/branchen/k/Elektro--und-Einrichtungsfachhandel/Startseite_-_Elektro-_und_Einrichtungsfachhandel,_Landesgre.html"
Landesinnung Holzbau,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"12718,12",2014,https://www.wko.at/content.Node/branchen/vbg/Holzbau/Startseite-Holzbau.html
Landesgremium der Tabaktrafikanten,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"12821,72",2014,"https://www.wko.at/content.Node/branchen/b/Tabaktrafikanten/Startseite_-_Tabaktrafikanten,_Landesgremium.html"
Landesgremium des Elektro- und Einrichtungsfachhandel,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"12821,72",2014,"https://www.wko.at/Content.Node/branchen/b/Elektro--und-Einrichtungsfachhandel/Startseite_-_Elektro-_und_Einrichtungsfachhandel,_Landesgre.html"
Landesgremium der Tabaktrafikanten,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"12850,6",2014,http://wko.at//tabak
Landesgremium des Agrarhandels,"Schwarzenbergplatz 14, 1041 Wien","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"12885,44",2014,"https://www.wko.at/Content.Node/branchen/w/Agrarhandels/Startseite_-_Agrarhandels,_Landesgremium.html"
Landesinnung der Gesundheitsberufe,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,12910,2014,https://www.wko.at/content.Node/branchen/sbg/Gesundheitsberufe/Startseite-Gesundheitsberufe.html
Fachgruppe Entsorgungs- und Ressourcenmanagement,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,12962,2014,"https://www.wko.at/Content.Node/branchen/sbg/sparte_iuc/ensorgungs_und_ressourcenmanagement/Startseite---Entsorgungs--und-Ressourcenmanagement,-Fachgru.html"
"Landesinnung der Chemische Gewerbe u.Denkmal-,Fassaden- u.Gebäudereiniger","Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,13007,2014,https://www.wko.at/Content.Node/branchen/sbg/Chemische-Gewerbe-und-der-Denkmal-Fassaden-und-Gebaeudereiniger/Startseite-Chemische-Gewerbe-Denkmal-Fassaden.html
Landesinnung der Bauhilfsgewerbe,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,13040,2014,https://www.wko.at/content.Node/branchen/sbg/Bauhilfsgewerbe/Startseite-Bauhilfsgewerbe.html
"Landesinnung der Sanitär-, Heizungs- und Lüftungstechniker","Koschutastraße 4, 9020 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"13084,02",2014,https://www.wko.at/content.Node/branchen/k/Sanitaer---Heizungs--und-Lueftungstechniker/Startseite-Sanitaer-Heizungs-und-Lueftungstechniker.html
Landesinnung der Lebensmittelgewerbe,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"13136,12",2014,https://www.wko.at/content.Node/branchen/b/Lebensmittelgewerbe/Startseite-Lebensmittelgewerbe.html
"Landesinnung der Dachdecker, Glaser und Spengler","Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"13170,85",2014,https://www.wko.at/content.Node/branchen/stmk/Dachdecker-Glaser-und-Spengler/Startseite-Dachdecker-Glaser-und-Spengler.html
Fachgruppe der Buch- und Medienwirtschaft,"Hessenplatz 3, 4020 Linz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"13183,78",2014,http://www.wko.at/ooe/buch
Fachgruppe der Holzindustrie,"Hessenplatz 3, 4020 Linz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"13183,78",2014,"https://www.wko.at/Content.Node/branchen/oe/Holzindustrie/Startseite_-_Holzindustrie,_Fachverband.html"
Fachgruppe Druck,"Hessenplatz 3, 4020 Linz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"13183,78",2014,http://www.wko.at/ooe/druck
Fachgruppe Entsorgungs- und Ressourcenmanagement,"Hessenplatz 3, 4020 Linz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"13183,78",2014,http://www.wko.at/ooe/abfallwirtschaft
Landesinnung der Mechatroniker,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,13236,2014,https://www.wko.at/content.Node/branchen/sbg/Mechatroniker/Startseite-Mechatroniker.html
Fachgruppe der Holzindustrie,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"13245,58",2014,https://www.wko.at/content.Node/branchen/vbg/Holzindustrie/Startseite---Holzindustrie--Fachverband.html
Landesgremium der Versicherungsagenten,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"13245,58",2014,http://wko.at/vlbg/versicherungsagenten
Landesgremium des Direktvertriebes,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"13245,58",2014,"https://www.wko.at/Content.Node/branchen/vbg/Direktvertrieb/Startseite_-_Direktvertrieb,_Fachgruppe.html"
Landesinnung der Mechatroniker,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"13245,58",2014,https://www.wko.at/content.Node/branchen/vbg/Mechatroniker/Startseite-Mechatroniker.html
Fachgruppe der Reisebüros,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"13272,36",2014,http://wko.at//tourismus/reisebueros
"Landesinnung der Sanitär-, Heizungs- und Lüftungstechniker","Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"13338,24",2014,https://www.wko.at/content.Node/branchen/b/Sanitaer---Heizungs--und-Lueftungstechniker/Startseite-Sanitaer-Heizungs-und-Lueftungstechniker.html
Landesinnung der Maler und Tapezierer,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"13346,69",2014,http://www.er-malerinnung.at
"Fachgruppe der Autobus-, Luftfahrt- und Schifffahrtunternehmungen","Landsbergerstraße 1, 3100 St. Pölten","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"13468,73",2014,http://wko.at/noe/autobus-luft-schiff
Fachgruppe Ingenieurbüros,"Schwarzenbergplatz 14, 1041 Wien","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"13480,22",2014,http://wko.at/wien/ingenieure
Landesinnung der Chemischen Gewerbe,"Rudolf-Sallinger-Platz 1, 1030 Wien","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"13480,22",2014,https://www.wko.at/Content.Node/branchen/w/Chemische-Gewerbe/Startseite-Chemische-Gewerbe.html
Fachgruppe des Energiehandels,"Landsbergerstraße 1, 3100 St. Pölten","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"13654,87",2014,http://wko.at/noe/energiehandel
Landesinnung der Mechatroniker,"Koschutastraße 4, 9020 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"13675,96",2014,https://www.wko.at/content.Node/branchen/k/Mechatroniker/Startseite-Mechatroniker.html
Fachgruppe der Freizeit- und Sportbetriebe,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"13773,03",2014,http://wko.at/vlbg/freizeitbetriebe
Landesgremium des Fahrzeughandels,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"13773,03",2014,"https://www.wko.at/Content.Node/branchen/vbg/Fahrzeughandel/Startseite_-_Fahrzeughandel,_Fachgruppe.html"
Fachgruppe Werbung und Marktkommunikation,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"13837,4",2014,https://www.wko.at/content.Node/branchen/k/sparte_iuc/Werbung-und-Marktkommunikation/Startseite---Werbung-und-Marktkommunikation--Fachgruppe.html
Landesinnung der Rauchfangkehrer,"Hessenplatz 3, 4020 Linz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"13914,96",2014,http://www.rauchfangkehrer-ooe.at
Fachgruppe der Versicherungsmakler und Berater in Versicherungsangelegenheiten,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"13924,53",2014,https://www.wko.at/Content.Node/branchen/t/sparte_iuc/Versicherungsmakler-und-Berater-in-Versicherungsangelegenheiten/Startseite---Versicherungsmakler.html
"Landesinnung der Hafner, Platten- und Fliesenleger und Keramiker","Rudolf-Sallinger-Platz 1, 1030 Wien","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14075,01",2014,http://www.kachelofen.or.at
Landesinnung der Kunsthandwerke,"Rudolf-Sallinger-Platz 1, 1030 Wien","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14075,01",2014,https://www.wko.at/Content.Node/branchen/w/Kunsthandwerke/Startseite-Kunsthandwerke.html
Landesgremium der Handelsagenten,"Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14089,31",2014,http://wko.at/stmk/311
Landesinnung Holzbau,"Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14154,92",2014,http://wko.at/stmk/zimmer
"Landesinnung der Hafner, Platten- und Fliesenleger und Keramiker","Landsbergerstraße 1, 3100 St. Pölten","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14162,94",2014,http://wko.at/noe/hafner
Landesinnung der Gärtner und Floristen,"Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14227,81",2014,http://wko.at/stmk/gf
Fachgruppe der Versicherungsmakler und Berater in Versicherungsangelegenheiten,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14267,9",2014,https://www.wko.at/content.Node/branchen/k/sparte_iuc/Versicherungsmakler-und-Berater-in-Versicherungsangelegenheiten/Startseite---Versicherungsmakler.html
"Landesinnung der Hafner, Platten- und Fliesenleger und Keramiker","Koschutastraße 4, 9020 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14267,9",2014,https://www.wko.at/content.Node/branchen/k/Hafner--Platten--und-Fliesenleger-und-Keramiker/Startseite-Hafner-Platten-Fliesenleger-und-Keramiker.html
Fachgruppe der Seilbahnen,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14300,49",2014,"https://www.wko.at/content.Node/branchen/vbg/TransportVerkehr/Seilbahnen/Startseite_-_Seilbahnen,_Fachgruppe.html"
Fachgruppe der Spediteure,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14300,49",2014,http://wko.at/vlbg/spediteure
Fachgruppe Ingenieurbüros,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14300,49",2014,https://www.wko.at/content.Node/branchen/vbg/sparte_iuc/Ingenieurbueros/Startseite---Ingenieurbueros--Fachgruppe.html
"Landesinnung der Elektro-, Gebäude-, Alarm- und Kommunikationstechniker","Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14300,49",2014,https://www.wko.at/content.Node/branchen/vbg/Elektro-Gebaeude-Alarm-und-Kommunikationstechniker/Startseite-Elektro-Gebaeude-Alarm-Kommunikationstechniker.html
"Landesinnung der Sanitär-, Heizungs- und Lüftungstechniker","Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14300,49",2014,https://www.wko.at/content.Node/branchen/vbg/Sanitaer---Heizungs--und-Lueftungstechniker/Startseite-Sanitaer-Heizungs-und-Lueftungstechniker.html
Landesgremium der Versicherungsagenten,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14417,55",2014,http://wko.at//versicherungsagenten
Fachgruppe Entsorgungs- und Ressourcenmanagement,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14464,18",2014,http://wko.at//sekundaerrohstoff
Fachgruppe Entsorgungs- und Ressourcenmanagement,"Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14592,28",2014,https://https://www.wko.at/content.Node/branchen/stmk/sparte_iuc/Abfall--und-Abwasserwirtschaft/Startseite---Abfall--und-Abwasserwirtschaft--Fachgruppe.html
Fachgruppe der Spediteure,"Hessenplatz 3, 4020 Linz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14646,13",2014,http://wko.at/ooe/spediteure
"Fachgruppe der Autobus-, Luftfahrt- und Schifffahrtunternehmungen","Schwarzenbergplatz 14, 1041 Wien","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14669,79",2014,http://wko.at/wien/autobusse
Fachgruppe der Spediteure,"Schwarzenbergplatz 14, 1041 Wien","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14669,79",2014,http://wko.at/wien/spediteure
Fachgruppe des Energiehandels,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14753,03",2014,http://wko.at/vlbg/305
Fachgruppe der Gesundheitsbetriebe,"Landsbergerstraße 1, 3100 St. Pölten","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14767,9",2014,http://wko.at/noe/gesundheitsbetriebe
"Fachgruppe der Kino-, Kultur- und Vergnügungsbetriebe","Landsbergerstraße 1, 3100 St. Pölten","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14767,9",2014,http://wko.at/noe/kino_kultur_vergnuegen
Landesgremium der Tabaktrafikanten,"Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14789,1",2014,http://wko.at/stmk/trafik
Landesinnung der Berufsfotografen,"Landsbergerstraße 1, 3100 St. Pölten","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14857,16",2014,http://wko.at/noe/fotografen
"Fachgruppe der Garagen-, Tankstellen- und Servicestationsunternehmungen","Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14867,67",2014,http://wko.at//tankstellen
Landesgremium des Direktvertriebes,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14867,67",2014,http://wko.at//direktvertrieb
Landesinnung der Mode und Bekleidungstechnik,"Landsbergerstraße 1, 3100 St. Pölten","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14906,75",2014,http://wko.at/noe/bekleidung
Landesinnung der Lebensmittelgewerbe,"Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14920,31",2014,https://www.wko.at/content.Node/branchen/stmk/Lebensmittelgewerbe/Startseite-Lebensmittelgewerbe.html
Landesgremium des Papier- und Spielwarenhandels,"Schwarzenbergplatz 14, 1041 Wien","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"14967,18",2014,http://wko.at/wien/papier-spiel
Landesinnung der Mode und Bekleidungstechnik,"Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"15138,99",2014,http://wko.at/stmk/kleidermacher
"Landesinnung der Elektro-, Gebäude-, Alarm- und Kommunikationstechniker","Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"15155,72",2014,http://wko.at//elektro
Landesgremium des Direktvertriebes,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,15264,2014,"https://www.wko.at/Content.Node/branchen/sbg/Direktvertrieb/Startseite_-_Direktvertrieb,_Landesgremium.html"
Landesgremium des Fahrzeughandels,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"15290,34",2014,"https://www.wko.at/Content.Node/branchen/k/Fahrzeughandel/Startseite_-_Fahrzeughandel,_Landesgremium.html"
Landesinnung der Maler und Tapezierer,"Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"15321,23",2014,https://www.wko.at/content.Node/branchen/stmk/Maler-und-Tapezierer/Startseite-Maler-und-Tapezierer.html
"Landesgremium des Handels mit Arzneimitteln, Dorgerie- und Parfümeriewaren sowie Chemikalien und Farben","Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"15352,42",2014,https://www.wko.at/content.Node/branchen/t/Handel-mit-Arzneimitteln--Drogerie--und-Parfuemeriewaren-sowie-Chemikalien-und-Farben/Startseite_-
Landesgremium des Elektro- und Einrichtungsfachhandel,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"15355,4",2014,"https://www.wko.at/Content.Node/branchen/vbg/Elektro--und-Einrichtungsfachhandel/Startseite_-_Elektro-_und_Einrichtungsfachhandel,_Fachgrupp.html"
Fachgruppe der Gesundheitsbetriebe,"Hessenplatz 3, 4020 Linz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"15377,31",2014,http://wko.at/ooe/gesundheitsbetriebe
Fachgruppe der Immobilien- und Vermögenstreuhänder,"Hessenplatz 3, 4020 Linz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"15377,31",2014,http://www.alle-immobilien.at
Landesgremium des Agrarhandels,"Hessenplatz 3, 4020 Linz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"15377,31",2014,http://wko.at/ooe/agrarhandel
"Landesinnung der Dachdecker, Glaser und Spengler","Koschutastraße 4, 9020 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"15397,96",2014,https://www.wko.at/content.Node/branchen/k/Dachdecker-Glaser-und-Spengler/Startseite-Dachdecker-Glaser-und-Spengler.html
Landesinnung der Maler und Tapezierer,"Koschutastraße 4, 9020 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"15451,77",2014,https://www.wko.at/content.Node/branchen/k/Maler-und-Tapezierer/Startseite-Maler-und-Tapezierer.html
Landesinnung der Berufsfotografen,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"15534,6",2014,https://www.wko.at/Content.Node/branchen/t/Berufsfotografen/Startseite_Berufsfotografen_Kontakt.html
Landesinnung der Friseure,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"15539,08",2014,https://www.wko.at/content.Node/branchen/b/Friseure/Startseite-Friseure.html
Landesgremium des Lebensmittelhandels,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"15628,91",2014,"https://www.wko.at/content.Node/branchen/b/Lebensmittelhandel/Startseite_-_Lebensmittelhandel,_Landesgremium.html"
Bundesinnung der Kunsthandwerke,"Wiedner Hauptstraße 63, 1045 Wien","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"15681,23",2014,http://wko.at/diekunsthandwerke
Landesinnung der Metalltechniker,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,15861,2014,http://www.zukunft-metall.at/
Fachgruppe für die Beförderungsgewerbe mit Personenkraftwagen,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"15882,85",2014,http://www.taxionline.at
Landesinnung der Metalltechniker,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"15882,85",2014,https://www.wko.at/content.Node/branchen/vbg/Metalltechniker/Startseite-Metalltechniker.html
Fachgruppe Finanzdienstleister,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"15924,66",2014,https://www.wko.at/content.Node/branchen/t/sparte_iuc/Finanzdienstleister/Startseite---Finanzdienstleister--Fachgruppe.html
